iter	Passed	Remaining
668	1251	18355
669	1252	18351
670	1255	18357
671	1256	18352
672	1258	18345
673	1260	18349
674	1262	18345
675	1263	18337
676	1265	18329
677	1266	18322
678	1268	18319
679	1272	18347
680	1274	18346
681	1276	18342
682	1278	18340
683	1279	18337
684	1281	18335
685	1283	18330
686	1285	18325
687	1286	18322
688	1288	18313
689	1289	18306
690	1291	18300
691	1292	18294
692	1294	18285
693	1295	18277
694	1298	18287
695	1300	18290
696	1302	18285
697	1303	18281
698	1306	18287
699	1307	18280
700	1309	18272
701	1310	18264
702	1312	18255
703	1313	18248
704	1315	18250
705	1317	18249
706	1319	18248
707	1321	18251
708	1323	18247
709	1325	18241
710	1326	18233
711	1328	18228
712	1329	18222
713	1331	18218
714	1333	18215
715	1335	18216
716	1336	18210
717	1338	18203
718	1339	18195
719	1341	18191
720	1343	18187
721	1345	18186
722	1346	18179
723	1348	18173
724	1349	18166
725	1351	18162
726	1354	18173
727	1355	18165
728	1357	18158
729	1358	18150
730	1360	18146
731	1361	18143
732	1363	18142
733	1365	18139
734	1367	18140
735	1369	18134
736	1370	18129
737	1372	18126
738	1374	18127
739	1376	18122
740	1378	18119
741	1379	18118
742	1381	18114
743	1383	18113
744	1385	18107
745	1386	18100
746	1387	18091
747	1389	18088
748	1392	18096
749	1393	18090
750	1395	18087
751	1397	18079
752	1398	18075
753	1401	18082
754	1402	18078
755	1404	18071
756	1405	18065
757	1407	18062
758	1409	18060
759	1411	18065
760	1413	18065
761	1416	18066
762	1417	18064
763	1419	18059
764	1420	18052
765	1422	18050
766	1424	18049
767	1426	18043
768	1427	18038
769	1429	18036
770	1431	18033
771	1433	18028
772	1434	18023
773	1436	18016
774	1437	18014
775	1439	18013
776	1441	18010
777	1444	18014
778	1445	18006
779	1447	18008
780	1449	18010
781	1451	18004
782	1453	18006
783	1454	17997
784	1456	17992
785	1457	17983
786	1459	17977
787	1460	17972
788	1462	17968
789	1463	17962
790	1465	17955
791	1466	17947
792	1468	17942
793	1469	17937
794	1471	17931
795	1472	17924
796	1474	17925
797	1476	17920
798	1478	17919
799	1480	17918
800	1482	17918
801	1483	17915
802	1485	17909
803	1487	17905
804	1488	17897
805	1490	17894
806	1491	17890
807	1493	17885
808	1495	17882
809	1496	17877
810	1498	17878
811	1500	17876
812	1503	17884
813	1508	17923
814	1515	17982
815	1518	17995
816	1521	18006
817	1524	18015
818	1526	18011
819	1527	18007
820	1529	18002
821	1531	17996
822	1532	17991
823	1534	17990
824	1536	17994
825	1539	18002
826	1542	18010
827	1544	18016
828	1547	18017
829	1548	18014
830	1550	18009
831	1552	18006
832	1553	18000
833	1555	17994
834	1556	17986
835	1558	17981
836	1559	17979
837	1561	17977
838	1563	17972
839	1565	17972
840	1567	17968
841	1569	17967
842	1570	17965
843	1572	17965
844	1574	17963
845	1576	17962
846	1578	17954
847	1579	17946
848	1580	17940
849	1582	17936
850	1584	17930
851	1585	17923
852	1587	17918
853	1588	17912
854	1590	17907
855	1591	17901
856	1593	17897
857	1594	17892
858	1596	17889
859	1598	17884
860	1599	17876
861	1600	17869
862	1602	17862
863	1603	17856
864	1605	17849
865	1606	17842
866	1608	17839
867	1609	17834
868	1611	17831
869	1613	17832
870	1615	17832
871	1617	17826
872	1618	17823
873	1620	17818
874	1622	17815
875	1623	17810
876	1625	17807
877	1627	17804
878	1628	17798
879	1630	17793
880	1631	17785
881	1633	17778
882	1634	17770
883	1635	17763
884	1637	17757
885	1638	17752
886	1640	17749
887	1642	17746
888	1643	17742
889	1645	17735
890	1646	17730
891	1647	17721
892	1649	17714
893	1650	17708
894	1652	17702
895	1653	17696
896	1655	17692
897	1656	17687
898	1658	17682
899	1660	17681
900	1661	17674
901	1663	17668
902	1664	17662
903	1665	17653
904	1667	17649
905	1669	17644
906	1670	17637
907	1672	17635
908	1673	17628
909	1675	17622
910	1676	17615
911	1677	17611
912	1679	17606
913	1680	17600
914	1682	17593
915	1683	17587
916	1685	17582
917	1686	17576
918	1688	17570
919	1690	17572
920	1691	17566
921	1693	17561
922	1694	17554
923	1695	17546
924	1697	17539
925	1698	17536
926	1700	17532
927	1702	17526
928	1703	17523
929	1705	17517
930	1706	17511
931	1708	17508
932	1709	17501
933	1710	17493
934	1712	17484
935	1713	17480
936	1715	17477
937	1716	17470
938	1718	17465
939	1719	17460
940	1721	17454
941	1722	17452
942	1724	17446
943	1725	17439
944	1727	17434
945	1728	17426
946	1729	17419
947	1731	17414
948	1732	17409
949	1734	17405
950	1735	17400
951	1737	17399
952	1739	17397
953	1740	17391
954	1742	17386
955	1743	17379
956	1745	17372
957	1746	17367
958	1748	17363
959	1749	17359
960	1751	17360
961	1753	17354
962	1754	17349
963	1756	17344
964	1757	17339
965	1759	17333
966	1760	17327
967	1761	17320
968	1763	17318
969	1765	17315
970	1767	17314
971	1769	17314
972	1771	17313
973	1773	17314
974	1775	17313
975	1776	17308
976	1778	17305
977	1780	17306
978	1782	17307
979	1785	17312
980	1787	17314
981	1789	17316
982	1791	17319
983	1793	17315
984	1795	17316
985	1797	17318
986	1800	17328
987	1802	17328
988	1804	17327
989	1806	17324
990	1807	17319
991	1809	17313
992	1811	17314
993	1813	17312
994	1815	17316
995	1817	17313
996	1819	17311
997	1820	17308
998	1822	17301
999	1823	17296
1000	1825	17289
1001	1826	17283
1002	1827	17278
1003	1829	17274
1004	1830	17268
1005	1832	17265
1006	1834	17261
1007	1835	17259
1008	1837	17252
1009	1838	17246
1010	1839	17240
1011	1841	17233
1012	1843	17231
1013	1844	17228
1014	1846	17223
1015	1847	17220
1016	1849	17213
1017	1850	17206
1018	1852	17202
1019	1853	17195
1020	1854	17188
1021	1855	17182
1022	1857	17176
1023	1858	17172
1024	1860	17167
1025	1861	17161
1026	1863	17157
1027	1864	17153
1028	1866	17152
1029	1868	17148
1030	1869	17145
1031	1871	17140
1032	1872	17134
1033	1874	17130
1034	1876	17128
1035	1877	17125
1036	1879	17119
1037	1880	17116
1038	1882	17114
1039	1884	17115
1040	1886	17111
1041	1887	17106
1042	1889	17099
1043	1890	17094
1044	1891	17087
1045	1893	17081
1046	1894	17075
1047	1895	17070
1048	1897	17066
1049	1899	17063
1050	1900	17057
1051	1901	17050
1052	1903	17043
1053	1904	17038
1054	1905	17032
1055	1907	17027
1056	1908	17023
1057	1910	17020
1058	1912	17017
1059	1913	17013
1060	1915	17010
1061	1916	17005
1062	1918	17000
1063	1919	16994
1064	1920	16988
1065	1922	16984
1066	1924	16984
1067	1939	17102
1068	1942	17107
1069	1944	17106
1070	1946	17104
1071	1947	17100
1072	1949	17095
1073	1950	17090
1074	1952	17086
1075	1953	17081
1076	1955	17081
1077	1957	17077
1078	1959	17076
1079	1960	17071
1080	1962	17067
1081	1963	17065
1082	1965	17063
1083	1967	17059
1084	1968	17056
1085	1970	17054
1086	1972	17050
1087	1973	17047
1088	1975	17045
1089	1977	17043
1090	1979	17040
1091	1980	17037
1092	1982	17033
1093	1983	17028
1094	1985	17021
1095	1986	17015
1096	1987	17009
1097	1989	17005
1098	1990	16999
1099	1992	16994
1100	1993	16991
1101	1995	16987
1102	1996	16980
1103	1998	16975
1104	1999	16969
1105	2000	16963
1106	2001	16957
1107	2003	16951
1108	2004	16948
1109	2006	16946
1110	2008	16941
1111	2009	16939
1112	2011	16934
1113	2012	16928
1114	2014	16927
1115	2016	16927
1116	2018	16928
1117	2020	16927
1118	2022	16925
1119	2024	16923
1120	2025	16919
1121	2027	16916
1122	2029	16913
